živome	živ	Af	13
ženinim	ženin	Aspmpi	82
ženinima	ženin	Aspmpi	82
zemljinim	zemljin	Aspmpi	82
zemljinima	zemljin	Aspmpi	82
zatvorenikovim	zatvorenikov	Aspmpi	82
ženinim	ženin	Aspmpl	82
ženinima	ženin	Aspmpl	82
zemljinim	zemljin	Aspmpl	82
zemljinima	zemljin	Aspmpl	82
zatvorenikovim	zatvorenikov	Aspmpl	82
ženini	ženin	Aspmpn	42
zemljini	zemljin	Aspmpn	42
zatvorenikovi	zatvorenikov	Aspmpn	42
Vinstonovi	Vinstonov	Aspmpn	42
tigrovi	tigrov	Aspmpn	42
ženini	ženin	Aspmpv	41
zemljini	zemljin	Aspmpv	41
zatvorenikovi	zatvorenikov	Aspmpv	41
Vinstonovi	Vinstonov	Aspmpv	41
tigrovi	tigrov	Aspmpv	41
oficirov	oficirov	Aspmsa	2
O'Brajenov	O'Brajenov	Aspmsa	2
ženin	ženin	Aspmsa--n	42
zemljin	zemljin	Aspmsa--n	42
zatvorenikov	zatvorenikov	Aspmsa--n	42
Vinstonov	Vinstonov	Aspmsa--n	42
tigrov	tigrov	Aspmsa--n	42
govornikov	govornikov	Aspmsan	1
Goldštajnov	Goldštajnov	Aspmsan-n	1
ženina	ženin	Aspmsan-y	41
zemljina	zemljin	Aspmsan-y	41
zatvorenikova	zatvorenikov	Aspmsan-y	41
Vinstonova	Vinstonov	Aspmsan-y	41
tigrova	tigrov	Aspmsan-y	41
ženinog	ženin	Aspmsay-y	82
ženinoga	ženin	Aspmsay-y	82
zemljinog	zemljin	Aspmsay-y	82
zemljinoga	zemljin	Aspmsay-y	82
zatvorenikovog	zatvorenikov	Aspmsay-y	82
ženinu	ženin	Aspmsdn	41
zemljinu	zemljin	Aspmsdn	41
zatvorenikovu	zatvorenikov	Aspmsdn	41
Vinstonovu	Vinstonov	Aspmsdn	41
tigrovu	tigrov	Aspmsdn	41
ženinom	ženin	Aspmsdy	124
ženinomu	ženin	Aspmsdy	124
ženinome	ženin	Aspmsdy	124
zemljinom	zemljin	Aspmsdy	124
zemljinomu	zemljin	Aspmsdy	124
ženina	ženin	Aspmsgn	41
zemljina	zemljin	Aspmsgn	41
zatvorenikova	zatvorenikov	Aspmsgn	41
Vinstonova	Vinstonov	Aspmsgn	41
tigrova	tigrov	Aspmsgn	41
ženinog	ženin	Aspmsgy	83
ženinoga	ženin	Aspmsgy	83
zemljinog	zemljin	Aspmsgy	83
zemljinoga	zemljin	Aspmsgy	83
zatvorenikovog	zatvorenikov	Aspmsgy	83
ženinim	ženin	Aspmsi	41
zemljinim	zemljin	Aspmsi	41
zatvorenikovim	zatvorenikov	Aspmsi	41
Vinstonovim	Vinstonov	Aspmsi	41
tigrovim	tigrov	Aspmsi	41
malabarskom	malabarski	Aspmsl	1
ženinu	ženin	Aspmsln	41
zemljinu	zemljin	Aspmsln	41
zatvorenikovu	zatvorenikov	Aspmsln	41
Vinstonovu	Vinstonov	Aspmsln	41
tigrovu	tigrov	Aspmsln	41
ženinom	ženin	Aspmsly	124
ženinomu	ženin	Aspmsly	124
ženinome	ženin	Aspmsly	124
zemljinom	zemljin	Aspmsly	124
zemljinomu	zemljin	Aspmsly	124
O'Brajenov	O'Brajenov	Aspmsn--y	1
ženin	ženin	Aspmsnn	43
zemljin	zemljin	Aspmsnn	43
zatvorenikov	zatvorenikov	Aspmsnn	43
Vinstonov	Vinstonov	Aspmsnn	43
tigrov	tigrov	Aspmsnn	43
ženini	ženin	Aspmsv	41
zemljini	zemljin	Aspmsv	41
zatvorenikovi	zatvorenikov	Aspmsv	41
Vinstonovi	Vinstonov	Aspmsv	41
tigrovi	tigrov	Aspmsv	41
ženina	ženin	Aspnpa	42
zemljina	zemljin	Aspnpa	42
zatvorenikova	zatvorenikov	Aspnpa	42
Vinstonova	Vinstonov	Aspnpa	42
tigrova	tigrov	Aspnpa	42
ženinim	ženin	Aspnpd	82
ženinima	ženin	Aspnpd	82
zemljinim	zemljin	Aspnpd	82
zemljinima	zemljin	Aspnpd	82
zatvorenikovim	zatvorenikov	Aspnpd	82
ženinih	ženin	Aspnpg	41
zemljinih	zemljin	Aspnpg	41
zatvorenikovih	zatvorenikov	Aspnpg	41
Vinstonovih	Vinstonov	Aspnpg	41
tigrovih	tigrov	Aspnpg	41
ženinim	ženin	Aspnpi	82
ženinima	ženin	Aspnpi	82
zemljinim	zemljin	Aspnpi	82
zemljinima	zemljin	Aspnpi	82
zatvorenikovim	zatvorenikov	Aspnpi	82
ženinim	ženin	Aspnpl	82
ženinima	ženin	Aspnpl	82
zemljinim	zemljin	Aspnpl	82
zemljinima	zemljin	Aspnpl	82
zatvorenikovim	zatvorenikov	Aspnpl	82
ženina	ženin	Aspnpn	41
zemljina	zemljin	Aspnpn	41
zatvorenikova	zatvorenikov	Aspnpn	41
Vinstonova	Vinstonov	Aspnpn	41
tigrova	tigrov	Aspnpn	41
ženina	ženin	Aspnpv	41
zemljina	zemljin	Aspnpv	41
zatvorenikova	zatvorenikov	Aspnpv	41
Vinstonova	Vinstonov	Aspnpv	41
tigrova	tigrov	Aspnpv	41
ženino	ženin	Aspnsa	41
zemljino	zemljin	Aspnsa	41
zatvorenikovo	zatvorenikov	Aspnsa	41
Vinstonovo	Vinstonov	Aspnsa	41
tigrovo	tigrov	Aspnsa	41
ženinu	ženin	Aspnsdn	41
zemljinu	zemljin	Aspnsdn	41
zatvorenikovu	zatvorenikov	Aspnsdn	41
Vinstonovu	Vinstonov	Aspnsdn	41
tigrovu	tigrov	Aspnsdn	41
ženinom	ženin	Aspnsdy	123
ženinomu	ženin	Aspnsdy	123
ženinome	ženin	Aspnsdy	123
zemljinom	zemljin	Aspnsdy	123
zemljinomu	zemljin	Aspnsdy	123
O'Brajenovog	O'Brajenov	Aspnsg	1
ženina	ženin	Aspnsgn	41
zemljina	zemljin	Aspnsgn	41
zatvorenikova	zatvorenikov	Aspnsgn	41
Vinstonova	Vinstonov	Aspnsgn	41
tigrova	tigrov	Aspnsgn	41
ženinog	ženin	Aspnsgy	82
ženinoga	ženin	Aspnsgy	82
zemljinog	zemljin	Aspnsgy	82
zemljinoga	zemljin	Aspnsgy	82
zatvorenikovog	zatvorenikov	Aspnsgy	82
ženinim	ženin	Aspnsi	41
zemljinim	zemljin	Aspnsi	41
zatvorenikovim	zatvorenikov	Aspnsi	41
Vinstonovim	Vinstonov	Aspnsi	41
tigrovim	tigrov	Aspnsi	41
ženinu	ženin	Aspnsln	41
zemljinu	zemljin	Aspnsln	41
zatvorenikovu	zatvorenikov	Aspnsln	41
Vinstonovu	Vinstonov	Aspnsln	41
tigrovu	tigrov	Aspnsln	41
ženinom	ženin	Aspnsly	124
ženinomu	ženin	Aspnsly	124
ženinome	ženin	Aspnsly	124
zemljinom	zemljin	Aspnsly	124
zemljinomu	zemljin	Aspnsly	124
ženino	ženin	Aspnsn	42
zemljino	zemljin	Aspnsn	42
zatvorenikovo	zatvorenikov	Aspnsn	42
Vinstonovo	Vinstonov	Aspnsn	42
tigrovo	tigrov	Aspnsn	42
ženino	ženin	Aspnsv	41
zemljino	zemljin	Aspnsv	41
zatvorenikovo	zatvorenikov	Aspnsv	41
Vinstonovo	Vinstonov	Aspnsv	41
tigrovo	tigrov	Aspnsv	41
zato	zato	C-s	63
zašto	zašto	C-s	63
zar	zar	C-s	63
već	već	C-s	63
van	van	C-s	63
zdravo	zdravo	I-s	16
ua	ua	I-s	16
stop	stop	I-s	16
o	o	I-s	16
majkumu	majkumu	I-s	16
85	85	Mc---d	31
84	84	Mc---d	31
83	83	Mc---d	31
7	7	Mc---d	31
6079	6079	Mc---d	31
trista	trista	Mc---l	37
trinaest	trinaest	Mc---l	37
tri'es'	trideset	Mc---l	37
trideset	trideset	Mc---l	37
sto	sto	Mc---l	37
Četiri	četiri	Mc--al	2
četiri	četiri	Mc--al	2
tri	tri	Mc--dl	1
jedan	jedan	Mc--nl	1
oboje	oboje	Mc-snl	1
tri	tri	Mcfd-l	5
obe	oba	Mcfd-l	5
dve	dve	Mcfd-l	5
dve	dva	Mcfd-l	5
četiri	četiri	Mcfd-l	5
tri	tri	Mcfdal	2
dve	dva	Mcfdal	2
trima	tri	Mcfddl	1
tri	tri	Mcfdgl	4
triju	tri	Mcfdgl	4
obe	oba	Mcfdgl	4
dveju	dva	Mcfdgl	4
tri	tri	Mcfdnl	2
dve	dva	Mcfdnl	2
tri	tri	Mcfpal	6
obe	oba	Mcfpal	6
jedne	jedan	Mcfpal	6
dvije	dva	Mcfpal	6
dve	dva	Mcfpal	6
trima	tri	Mcfpdl	7
obema	oba	Mcfpdl	7
jednim	jedan	Mcfpdl	7
jednima	jedan	Mcfpdl	7
dvjema	dva	Mcfpdl	7
tri	tri	Mcfpgl	8
triju	tri	Mcfpgl	8
obeju	oba	Mcfpgl	8
jednih	jedan	Mcfpgl	8
dviju	dva	Mcfpgl	8
trima	tri	Mcfpil	7
obema	oba	Mcfpil	7
jednim	jedan	Mcfpil	7
jednima	jedan	Mcfpil	7
dvjema	dva	Mcfpil	7
trima	tri	Mcfpll	7
obema	oba	Mcfpll	7
jednim	jedan	Mcfpll	7
jednima	jedan	Mcfpll	7
dvjema	dva	Mcfpll	7
tri	tri	Mcfpnl	6
obe	oba	Mcfpnl	6
jedne	jedan	Mcfpnl	6
dvije	dva	Mcfpnl	6
dve	dva	Mcfpnl	6
jednu	jedan	Mcfsal	1
jednoj	jedan	Mcfsdl	1
jedne	jedan	Mcfsgl	1
jednom	jedan	Mcfsil	1
jednoj	jedan	Mcfsll	1
jedna	jedan	Mcfsnl	1
V	V	Mcm--r	1
tri	tri	Mcm-gl	1
tri	tri	Mcmd-l	5
oba	oba	Mcmd-l	5
dva	dva	Mcmd-l	5
Četiri	četiri	Mcmd-l	5
četiri	četiri	Mcmd-l	5
dva	dva	Mcmd-l---n	2
četiri	četiri	Mcmd-l---n	2
tri	tri	Mcmdal	5
oba	oba	Mcmdal	5
dva	dva	Mcmdal	5
Četiri	četiri	Mcmdal	5
četiri	četiri	Mcmdal	5
tri	tri	Mcmdgl	2
dva	dva	Mcmdgl	2
tri	tri	Mcmdnl	5
oba	oba	Mcmdnl	5
dva	dva	Mcmdnl	5
Četiri	četiri	Mcmdnl	5
četiri	četiri	Mcmdnl	5
tri	tri	Mcmpal	5
oba	oba	Mcmpal	5
jedne	jedan	Mcmpal	5
dva	dva	Mcmpal	5
četiri	četiri	Mcmpal	5
trima	tri	Mcmpdl	6
oboma	oba	Mcmpdl	6
jednim	jedan	Mcmpdl	6
jednima	jedan	Mcmpdl	6
dvama	dva	Mcmpdl	6
triju	tri	Mcmpgl	5
obaju	oba	Mcmpgl	5
jednih	jedan	Mcmpgl	5
dvaju	dva	Mcmpgl	5
četiriju	četiri	Mcmpgl	5
trima	tri	Mcmpil	6
oboma	oba	Mcmpil	6
jednim	jedan	Mcmpil	6
jednima	jedan	Mcmpil	6
dvama	dva	Mcmpil	6
trima	tri	Mcmpll	6
oboma	oba	Mcmpll	6
jednim	jedan	Mcmpll	6
jednima	jedan	Mcmpll	6
dvama	dva	Mcmpll	6
tri	tri	Mcmpnl	5
oba	oba	Mcmpnl	5
jedni	jedan	Mcmpnl	5
dva	dva	Mcmpnl	5
četiri	četiri	Mcmpnl	5
dva	dva	Mcmpnl---n	1
jedan	jedan	Mcmsal	1
jedan	jedan	Mcmsal---n	1
jednog	jedan	Mcmsal---y	2
jednoga	jedan	Mcmsal---y	2
jednomu	jedan	Mcmsdl	3
jednom	jedan	Mcmsdl	3
jednome	jedan	Mcmsdl	3
jednog	jedan	Mcmsgl	2
jednoga	jedan	Mcmsgl	2
jednim	jedan	Mcmsil	1
jednomu	jedan	Mcmsll	3
jednom	jedan	Mcmsll	3
jednome	jedan	Mcmsll	3
je'n	jedan	Mcmsnl	2
jedan	jedan	Mcmsnl	2
dva	dva	Mcnd-l	1
oboje	oboje	Mcnd-l---y	1
dva	dva	Mcndal	1
četiri	četiri	Mcndgl	1
oba	oba	Mcndnl	2
dva	dva	Mcndnl	2
tri	tri	Mcnpal	5
oba	oba	Mcnpal	5
jedna	jedan	Mcnpal	5
dva	dva	Mcnpal	5
četiri	četiri	Mcnpal	5
trima	tri	Mcnpdl	6
oboma	oba	Mcnpdl	6
jednim	jedan	Mcnpdl	6
jednima	jedan	Mcnpdl	6
dvama	dva	Mcnpdl	6
triju	tri	Mcnpgl	5
obaju	oba	Mcnpgl	5
jednih	jedan	Mcnpgl	5
dvaju	dva	Mcnpgl	5
četiriju	četiri	Mcnpgl	5
trima	tri	Mcnpil	6
oboma	oba	Mcnpil	6
jednim	jedan	Mcnpil	6
jednima	jedan	Mcnpil	6
dvama	dva	Mcnpil	6
trima	tri	Mcnpll	6
oboma	oba	Mcnpll	6
jednim	jedan	Mcnpll	6
jednima	jedan	Mcnpll	6
dvama	dva	Mcnpll	6
tri	tri	Mcnpnl	5
oba	oba	Mcnpnl	5
jedna	jedan	Mcnpnl	5
dva	dva	Mcnpnl	5
četiri	četiri	Mcnpnl	5
oba	oba	Mcnsal	2
jedno	jedan	Mcnsal	2
oboma	oboje	Mcnsdl	4
jednomu	jedan	Mcnsdl	4
jednom	jedan	Mcnsdl	4
jednome	jedan	Mcnsdl	4
oboma	oboje	Mcnsdl---y	1
jednog	jedan	Mcnsgl	2
jednoga	jedan	Mcnsgl	2
jednog	jedan	Mcnsgl---n	1
jednim	jedan	Mcnsil	1
jednomu	jedan	Mcnsll	3
jednom	jedan	Mcnsll	3
jednome	jedan	Mcnsll	3
jedno	jedan	Mcnsnl	1
troje	troje	Mlfp-l	2
dvoje	dvoje	Mlfp-l	2
trojim	troje	Mlfpdl	2
dvojim	dvoje	Mlfpdl	2
trojih	troje	Mlfpgl	2
dvojih	dvoje	Mlfpgl	2
trojim	troje	Mlfpil	2
dvojim	dvoje	Mlfpil	2
trojim	troje	Mlfpll	2
dvojim	dvoje	Mlfpll	2
troje	troje	Mlfsal	2
dvoje	dvoje	Mlfsal	2
trom	troje	Mlfsdl	10
trome	troje	Mlfsdl	10
troma	troje	Mlfsdl	10
trojemu	troje	Mlfsdl	10
trojem	troje	Mlfsdl	10
trojeg	troje	Mlfsgl	8
trojega	troje	Mlfsgl	8
trog	troje	Mlfsgl	8
troga	troje	Mlfsgl	8
dvojeg	dvoje	Mlfsgl	8
trom	troje	Mlfsil	10
trome	troje	Mlfsil	10
troma	troje	Mlfsil	10
trojemu	troje	Mlfsil	10
trojem	troje	Mlfsil	10
trom	troje	Mlfsll	10
trome	troje	Mlfsll	10
troma	troje	Mlfsll	10
trojemu	troje	Mlfsll	10
trojem	troje	Mlfsll	10
troje	troje	Mlfsnl	2
dvoje	dvoje	Mlfsnl	2
troje	troje	Mlmp-l	2
dvoje	dvoje	Mlmp-l	2
trojim	troje	Mlmpdl	2
dvojim	dvoje	Mlmpdl	2
trojih	troje	Mlmpgl	2
dvojih	dvoje	Mlmpgl	2
trojim	troje	Mlmpil	2
dvojim	dvoje	Mlmpil	2
trojim	troje	Mlmpll	2
dvojim	dvoje	Mlmpll	2
troji	troje	Mlmpnl	2
dvoji	dvoje	Mlmpnl	2
troje	troje	Mlmsal	2
dvoje	dvoje	Mlmsal	2
trom	troje	Mlmsdl	10
trome	troje	Mlmsdl	10
troma	troje	Mlmsdl	10
trojemu	troje	Mlmsdl	10
trojem	troje	Mlmsdl	10
trojeg	troje	Mlmsgl	8
trojega	troje	Mlmsgl	8
trog	troje	Mlmsgl	8
troga	troje	Mlmsgl	8
dvojeg	dvoje	Mlmsgl	8
trom	troje	Mlmsil	10
trome	troje	Mlmsil	10
troma	troje	Mlmsil	10
trojemu	troje	Mlmsil	10
trojem	troje	Mlmsil	10
trom	troje	Mlmsll	10
trome	troje	Mlmsll	10
troma	troje	Mlmsll	10
trojemu	troje	Mlmsll	10
trojem	troje	Mlmsll	10
troje	troje	Mlmsnl	2
dvoje	dvoje	Mlmsnl	2
tridesetora	tridesetoro	Mlnp-l	5
šestora	šestoro	Mlnp-l	5
dvadesetora	dvadesetoro	Mlnp-l	5
desetora	desetoro	Mlnp-l	5
četvora	četvoro	Mlnp-l	5
troja	troje	Mlnpal	2
dvoja	dvoje	Mlnpal	2
trojim	troje	Mlnpdl	2
dvojim	dvoje	Mlnpdl	2
trojih	troje	Mlnpgl	2
dvojih	dvoje	Mlnpgl	2
trojim	troje	Mlnpil	2
dvojim	dvoje	Mlnpil	2
trojim	troje	Mlnpll	2
dvojim	dvoje	Mlnpll	2
troja	troje	Mlnpnl	2
dvoja	dvoje	Mlnpnl	2
tridesetoro	tridesetoro	Mlns-l	5
šestoro	šestoro	Mlns-l	5
dvadesetoro	dvadesetoro	Mlns-l	5
desetoro	desetoro	Mlns-l	5
četvoro	četvoro	Mlns-l	5
troje	troje	Mlnsal	3
oboje	oboje	Mlnsal	3
dvoje	dvoje	Mlnsal	3
dvoje	dvoje	Mlnsal---n	1
trom	troje	Mlnsdl	11
trome	troje	Mlnsdl	11
troma	troje	Mlnsdl	11
trojemu	troje	Mlnsdl	11
trojem	troje	Mlnsdl	11
trojeg	troje	Mlnsgl	8
trojega	troje	Mlnsgl	8
trog	troje	Mlnsgl	8
troga	troje	Mlnsgl	8
dvojeg	dvoje	Mlnsgl	8
trom	troje	Mlnsil	10
trome	troje	Mlnsil	10
troma	troje	Mlnsil	10
trojemu	troje	Mlnsil	10
trojem	troje	Mlnsil	10
trom	troje	Mlnsll	10
trome	troje	Mlnsll	10
troma	troje	Mlnsll	10
trojemu	troje	Mlnsll	10
trojem	troje	Mlnsll	10
troje	troje	Mlnsnl	3
oboje	oboje	Mlnsnl	3
dvoje	dvoje	Mlnsnl	3
oboje	oboje	Mlnsnl---y	1
stotine	stotina	Msfd-l	2
hiljade	hiljada	Msfd-l	2
stotine	stotina	Msfd-l---n	2
hiljade	hiljada	Msfd-l---n	2
stotine	stotina	Msfpal---n	6
sedmice	sedmica	Msfpal---n	6
nule	nula	Msfpal---n	6
hiljade	hiljada	Msfpal---n	6
desetine	desetina	Msfpal---n	6
stotinama	stotina	Msfpdl---n	6
sedmicama	sedmica	Msfpdl---n	6
nulama	nula	Msfpdl---n	6
hiljadama	hiljada	Msfpdl---n	6
desetinama	desetina	Msfpdl---n	6
stotina	stotina	Msfpgl---n	6
sedmica	sedmica	Msfpgl---n	6
nula	nula	Msfpgl---n	6
hiljada	hiljada	Msfpgl---n	6
desetina	desetina	Msfpgl---n	6
stotinama	stotina	Msfpil---n	6
sedmicama	sedmica	Msfpil---n	6
nulama	nula	Msfpil---n	6
hiljadama	hiljada	Msfpil---n	6
desetinama	desetina	Msfpil---n	6
stotinama	stotina	Msfpll---n	6
sedmicama	sedmica	Msfpll---n	6
nulama	nula	Msfpll---n	6
hiljadama	hiljada	Msfpll---n	6
desetinama	desetina	Msfpll---n	6
stotine	stotina	Msfpnl---n	6
sedmice	sedmica	Msfpnl---n	6
nule	nula	Msfpnl---n	6
hiljade	hiljada	Msfpnl---n	6
desetine	desetina	Msfpnl---n	6
trojicu	trojica	Msfsal---n	9
stotinu	stotina	Msfsal---n	9
sedmicu	sedmica	Msfsal---n	9
obojicu	obojica	Msfsal---n	9
nulu	nula	Msfsal---n	9
trojici	trojica	Msfsdl---n	9
stotini	stotina	Msfsdl---n	9
sedmici	sedmica	Msfsdl---n	9
obojici	obojica	Msfsdl---n	9
nuli	nula	Msfsdl---n	9
trojice	trojica	Msfsgl---n	9
stotine	stotina	Msfsgl---n	9
sedmice	sedmica	Msfsgl---n	9
obojice	obojica	Msfsgl---n	9
nule	nula	Msfsgl---n	9
trojicom	trojica	Msfsil---n	9
stotinom	stotina	Msfsil---n	9
sedmicom	sedmica	Msfsil---n	9
obojicom	obojica	Msfsil---n	9
nulom	nula	Msfsil---n	9
trojici	trojica	Msfsll---n	9
stotini	stotina	Msfsll---n	9
sedmici	sedmica	Msfsll---n	9
obojici	obojica	Msfsll---n	9
nuli	nula	Msfsll---n	9
trojica	trojica	Msfsnl---n	9
stotina	stotina	Msfsnl---n	9
sedmica	sedmica	Msfsnl---n	9
obojica	obojica	Msfsnl---n	9
nula	nula	Msfsnl---n	9
miliona	milion	Msmd-l---n	1
tridesetak	tridesetak	Msmp-l	5
pedesetak	pedesetak	Msmp-l	5
dvanaestak	dvanaestak	Msmp-l	5
dvadesetak	dvadesetak	Msmp-l	5
desetak	desetak	Msmp-l	5
milione	milion	Msmpal---n	1
miliona	milion	Msmpgl---n	1
opštenje	opštenje	Nc	2
nego	nega	Nc	2
stakla	staklo	Nc--g	1
strže	strgnuti	Nc-s	1
reči	reč	Ncf	1
zgrade	zgrada	Ncf----n	35
zemlje	zemlja	Ncf----n	35
vrste	vrsta	Ncf----n	35
večeri	večer	Ncf----n	35
unce	unca	Ncf----n	35
žene	žena	Ncf----y	2
curice	curica	Ncf----y	2
superdržave	superdržava	Ncf-a--n	3
osobenosti	osobenost	Ncf-a--n	3
kategorije	kategorija	Ncf-a--n	3
grupama	grupa	Ncf-d--n	1
superdržava	superdržava	Ncf-g	2
filozofija	filozofija	Ncf-g	2
superdržave	superdržava	Ncf-g--n	9
superdržava	superdržava	Ncf-g--n	9
sila	sila	Ncf-g--n	9
polovine	polovina	Ncf-g--n	9
grupe	grupa	Ncf-g--n	9
vrste	vrsta	Ncf-n--n	6
superdržave	superdržava	Ncf-n--n	6
strane	strana	Ncf-n--n	6
sile	sila	Ncf-n--n	6
mrlje	mrlja	Ncf-n--n	6
članice	članica	Ncf-n--y	1
zvonjave	zvonjava	Ncfpa--n	1400
zvezde	zvezda	Ncfpa--n	1400
zveke	zveka	Ncfpa--n	1400
žrtve	žrtva	Ncfpa--n	1400
zrake	zraka	Ncfpa--n	1400
zveri	zver	Ncfpa--y	110
zunzare	zunzara	Ncfpa--y	110
žrtve	žrtva	Ncfpa--y	110
životinje	životinja	Ncfpa--y	110
ženske	ženska	Ncfpa--y	110
očima	oči	Ncfpd	1
zvonjavama	zvonjava	Ncfpd--n	1397
zvezdama	zvezda	Ncfpd--n	1397
zvekama	zveka	Ncfpd--n	1397
žrtvama	žrtva	Ncfpd--n	1397
zrakama	zraka	Ncfpd--n	1397
zverima	zver	Ncfpd--y	110
zunzarama	zunzara	Ncfpd--y	110
žrtvama	žrtva	Ncfpd--y	110
životinjama	životinja	Ncfpd--y	110
ženskama	ženska	Ncfpd--y	110
očiju	oči	Ncfpg	2
misli	misao	Ncfpg	2
zvonjava	zvonjava	Ncfpg--n	1488
zvezda	zvezda	Ncfpg--n	1488
zveka	zveka	Ncfpg--n	1488
žrtvi	žrtva	Ncfpg--n	1488
žrtava	žrtva	Ncfpg--n	1488
zveri	zver	Ncfpg--y	115
zunzara	zunzara	Ncfpg--y	115
žrtvi	žrtva	Ncfpg--y	115
žrtava	žrtva	Ncfpg--y	115
životinja	životinja	Ncfpg--y	115
zvonjavama	zvonjava	Ncfpi--n	1400
zvezdama	zvezda	Ncfpi--n	1400
zvekama	zveka	Ncfpi--n	1400
žrtvama	žrtva	Ncfpi--n	1400
zrakama	zraka	Ncfpi--n	1400
zverima	zver	Ncfpi--y	110
zunzarama	zunzara	Ncfpi--y	110
žrtvama	žrtva	Ncfpi--y	110
životinjama	životinja	Ncfpi--y	110
ženskama	ženska	Ncfpi--y	110
pripremama	priprema	Ncfpl	1
zvonjavama	zvonjava	Ncfpl--n	1400
zvezdama	zvezda	Ncfpl--n	1400
zvekama	zveka	Ncfpl--n	1400
žrtvama	žrtva	Ncfpl--n	1400
zrakama	zraka	Ncfpl--n	1400
zverima	zver	Ncfpl--y	110
zunzarama	zunzara	Ncfpl--y	110
žrtvama	žrtva	Ncfpl--y	110
životinjama	životinja	Ncfpl--y	110
ženskama	ženska	Ncfpl--y	110
sitnice	sitnica	Ncfpn	3
oči	oči	Ncfpn	3
neubedljive	neubedljive	Ncfpn	3
zvonjave	zvonjava	Ncfpn--n	1403
zvezde	zvezda	Ncfpn--n	1403
zveke	zveka	Ncfpn--n	1403
žrtve	žrtva	Ncfpn--n	1403
zrake	zraka	Ncfpn--n	1403
zveri	zver	Ncfpn--y	112
zunzare	zunzara	Ncfpn--y	112
žrtve	žrtva	Ncfpn--y	112
životinje	životinja	Ncfpn--y	112
ženske	ženska	Ncfpn--y	112
zvonjave	zvonjava	Ncfpv--n	1446
zvezde	zvezda	Ncfpv--n	1446
zveke	zveka	Ncfpv--n	1446
žrtve	žrtva	Ncfpv--n	1446
zrake	zraka	Ncfpv--n	1446
zveri	zver	Ncfpv--y	112
zunzare	zunzara	Ncfpv--y	112
žrtve	žrtva	Ncfpv--y	112
životinje	životinja	Ncfpv--y	112
ženske	ženska	Ncfpv--y	112
primedbu	primedba	Ncfsa	1
zvonjavu	zvonjava	Ncfsa--n	1414
zvezdu	zvezda	Ncfsa--n	1414
zveku	zveka	Ncfsa--n	1414
žrtvu	žrtva	Ncfsa--n	1414
zraku	zraka	Ncfsa--n	1414
zver	zver	Ncfsa--y	106
zunzaru	zunzara	Ncfsa--y	106
žrtvu	žrtva	Ncfsa--y	106
životinju	životinja	Ncfsa--y	106
ženu	žena	Ncfsa--y	106
zvonjavi	zvonjava	Ncfsd--n	1416
zvezdi	zvezda	Ncfsd--n	1416
zveki	zveka	Ncfsd--n	1416
zveci	zveka	Ncfsd--n	1416
žrtvi	žrtva	Ncfsd--n	1416
zveri	zver	Ncfsd--y	104
zunzari	zunzara	Ncfsd--y	104
žrtvi	žrtva	Ncfsd--y	104
životinji	životinja	Ncfsd--y	104
ženskoj	ženska	Ncfsd--y	104
javnosti	javnost	Ncfsg	1
zvonjave	zvonjava	Ncfsg--n	1407
zvezde	zvezda	Ncfsg--n	1407
zveke	zveka	Ncfsg--n	1407
žrtve	žrtva	Ncfsg--n	1407
zrake	zraka	Ncfsg--n	1407
zveri	zver	Ncfsg--y	104
zunzare	zunzara	Ncfsg--y	104
žrtve	žrtva	Ncfsg--y	104
životinje	životinja	Ncfsg--y	104
ženske	ženska	Ncfsg--y	104
zvonjavom	zvonjava	Ncfsi--n	1621
zvezdom	zvezda	Ncfsi--n	1621
zvekom	zveka	Ncfsi--n	1621
žrtvom	žrtva	Ncfsi--n	1621
zrakom	zraka	Ncfsi--n	1621
zveri	zver	Ncfsi--y	104
zunzarom	zunzara	Ncfsi--y	104
žrtvom	žrtva	Ncfsi--y	104
životinjom	životinja	Ncfsi--y	104
ženskom	ženska	Ncfsi--y	104
ruci	ruka	Ncfsl	1
zvonjavi	zvonjava	Ncfsl--n	1417
zvezdi	zvezda	Ncfsl--n	1417
zveki	zveka	Ncfsl--n	1417
zveci	zveka	Ncfsl--n	1417
žrtvi	žrtva	Ncfsl--n	1417
zveri	zver	Ncfsl--y	105
zunzari	zunzara	Ncfsl--y	105
žrtvi	žrtva	Ncfsl--y	105
životinji	životinja	Ncfsl--y	105
ženskoj	ženska	Ncfsl--y	105
simpatija	simpatija	Ncfsn	2
glad	glad	Ncfsn	2
zvonjava	zvonjava	Ncfsn--n	1413
zvezda	zvezda	Ncfsn--n	1413
zveka	zveka	Ncfsn--n	1413
žrtva	žrtva	Ncfsn--n	1413
zraka	zraka	Ncfsn--n	1413
zver	zver	Ncfsn--y	108
zunzara	zunzara	Ncfsn--y	108
žrtva	žrtva	Ncfsn--y	108
životinja	životinja	Ncfsn--y	108
ženska	ženska	Ncfsn--y	108
zvonjavo	zvonjava	Ncfsv--n	1396
zvezdo	zvezda	Ncfsv--n	1396
zveko	zveka	Ncfsv--n	1396
žrtvo	žrtva	Ncfsv--n	1396
zrako	zraka	Ncfsv--n	1396
zveri	zver	Ncfsv--y	104
zunzaro	zunzara	Ncfsv--y	104
žrtvo	žrtva	Ncfsv--y	104
životinjo	životinja	Ncfsv--y	104
ženska	ženska	Ncfsv--y	104
