01N010000000100	Nc---n	Noun common -Definiteness	Noun Type=common Definiteness=no
05D020302010100000000	Di3fsr	Determiner indefinite third feminine singular direct	Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=direct
05D020302010100000001	Di3fsr---e	Determiner indefinite third feminine singular direct prenomin	Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=direct Modific_Type=prenomin
05D020302010200000000	Di3fso	Determiner indefinite third feminine singular oblique	Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=oblique
05D020302010200000001	Di3fso---e	Determiner indefinite third feminine singular oblique prenomin	Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin
05D020302020000000000	Di3fp	Determiner indefinite third feminine plural	Determiner Type=indefinite Person=third Gender=feminine Number=plural
05D020302020100000000	Di3fpr	Determiner indefinite third feminine plural direct	Determiner Type=indefinite Person=third Gender=feminine Number=plural Case=direct
05D020302020100000001	Di3fpr---e	Determiner indefinite third feminine plural direct prenomin	Determiner Type=indefinite Person=third Gender=feminine Number=plural Case=direct Modific_Type=prenomin
05D030101010001000000	Ds1ms-s	Determiner possessive first masculine singular singular	Determiner Type=possessive Person=first Gender=masculine Number=singular Owner_Number=singular
05D030101010002000000	Ds1ms-p	Determiner possessive first masculine singular plural	Determiner Type=possessive Person=first Gender=masculine Number=singular Owner_Number=plural
05D030101010101000200	Ds1msrs-y	Determiner possessive first masculine singular direct singular +Clitic	Determiner Type=possessive Person=first Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes
05D030101020001000000	Ds1mp-s	Determiner possessive first masculine plural singular	Determiner Type=possessive Person=first Gender=masculine Number=plural Owner_Number=singular
05D030101020002000000	Ds1mp-p	Determiner possessive first masculine plural plural	Determiner Type=possessive Person=first Gender=masculine Number=plural Owner_Number=plural
05D030102010101000000	Ds1fsrs	Determiner possessive first feminine singular direct singular	Determiner Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=singular
05D030102010101000200	Ds1fsrs-y	Determiner possessive first feminine singular direct singular +Clitic	Determiner Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=singular Clitic=yes
05D030102010102000000	Ds1fsrp	Determiner possessive first feminine singular direct plural	Determiner Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=plural
05D030102010201000000	Ds1fsos	Determiner possessive first feminine singular oblique singular	Determiner Type=possessive Person=first Gender=feminine Number=singular Case=oblique Owner_Number=singular
05D030102010201000200	Ds1fsos-y	Determiner possessive first feminine singular oblique singular +Clitic	Determiner Type=possessive Person=first Gender=feminine Number=singular Case=oblique Owner_Number=singular Clitic=yes
05D030102010202000000	Ds1fsop	Determiner possessive first feminine singular oblique plural	Determiner Type=possessive Person=first Gender=feminine Number=singular Case=oblique Owner_Number=plural
05D030102020001000000	Ds1fp-s	Determiner possessive first feminine plural singular	Determiner Type=possessive Person=first Gender=feminine Number=plural Owner_Number=singular
05D030102020002000000	Ds1fp-p	Determiner possessive first feminine plural plural	Determiner Type=possessive Person=first Gender=feminine Number=plural Owner_Number=plural
05D030201010001000000	Ds2ms-s	Determiner possessive second masculine singular singular	Determiner Type=possessive Person=second Gender=masculine Number=singular Owner_Number=singular
05D030201010002000000	Ds2ms-p	Determiner possessive second masculine singular plural	Determiner Type=possessive Person=second Gender=masculine Number=singular Owner_Number=plural
05D030201010101000200	Ds2msrs-y	Determiner possessive second masculine singular direct singular +Clitic	Determiner Type=possessive Person=second Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes
05D030201020001000000	Ds2mp-s	Determiner possessive second masculine plural singular	Determiner Type=possessive Person=second Gender=masculine Number=plural Owner_Number=singular
05D030201020002000000	Ds2mp-p	Determiner possessive second masculine plural plural	Determiner Type=possessive Person=second Gender=masculine Number=plural Owner_Number=plural
05D030202010101000000	Ds2fsrs	Determiner possessive second feminine singular direct singular	Determiner Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=singular
05D030202010101000200	Ds2fsrs-y	Determiner possessive second feminine singular direct singular +Clitic	Determiner Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=singular Clitic=yes
05D030202010102000000	Ds2fsrp	Determiner possessive second feminine singular direct plural	Determiner Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=plural
05D030202010201000000	Ds2fsos	Determiner possessive second feminine singular oblique singular	Determiner Type=possessive Person=second Gender=feminine Number=singular Case=oblique Owner_Number=singular
05D030202010201000200	Ds2fsos-y	Determiner possessive second feminine singular oblique singular +Clitic	Determiner Type=possessive Person=second Gender=feminine Number=singular Case=oblique Owner_Number=singular Clitic=yes
05D030202010202000000	Ds2fsop	Determiner possessive second feminine singular oblique plural	Determiner Type=possessive Person=second Gender=feminine Number=singular Case=oblique Owner_Number=plural
05D030202020001000000	Ds2fp-s	Determiner possessive second feminine plural singular	Determiner Type=possessive Person=second Gender=feminine Number=plural Owner_Number=singular
05D030202020002000000	Ds2fp-p	Determiner possessive second feminine plural plural	Determiner Type=possessive Person=second Gender=feminine Number=plural Owner_Number=plural
05D030301010001000000	Ds3ms-s	Determiner possessive third masculine singular singular	Determiner Type=possessive Person=third Gender=masculine Number=singular Owner_Number=singular
05D030301010101000200	Ds3msrs-y	Determiner possessive third masculine singular direct singular +Clitic	Determiner Type=possessive Person=third Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes
05D030301020001000000	Ds3mp-s	Determiner possessive third masculine plural singular	Determiner Type=possessive Person=third Gender=masculine Number=plural Owner_Number=singular
05D030302010101000000	Ds3fsrs	Determiner possessive third feminine singular direct singular	Determiner Type=possessive Person=third Gender=feminine Number=singular Case=direct Owner_Number=singular
05D030302010101000200	Ds3fsrs-y	Determiner possessive third feminine singular direct singular +Clitic	Determiner Type=possessive Person=third Gender=feminine Number=singular Case=direct Owner_Number=singular Clitic=yes
05D030302010201000000	Ds3fsos	Determiner possessive third feminine singular oblique singular	Determiner Type=possessive Person=third Gender=feminine Number=singular Case=oblique Owner_Number=singular
05D030302010201000200	Ds3fsos-y	Determiner possessive third feminine singular oblique singular +Clitic	Determiner Type=possessive Person=third Gender=feminine Number=singular Case=oblique Owner_Number=singular Clitic=yes
05D030302020001000000	Ds3fp-s	Determiner possessive third feminine plural singular	Determiner Type=possessive Person=third Gender=feminine Number=plural Owner_Number=singular
05D040300000100000001	Dw3--r---e	Determiner int-rel third direct prenomin	Determiner Type=int-rel Person=third Case=direct Modific_Type=prenomin
05D040300020200000000	Dw3-po	Determiner int-rel third plural oblique	Determiner Type=int-rel Person=third Number=plural Case=oblique
05D040300020200000001	Dw3-po---e	Determiner int-rel third plural oblique prenomin	Determiner Type=int-rel Person=third Number=plural Case=oblique Modific_Type=prenomin
05D040301010100000000	Dw3msr	Determiner int-rel third masculine singular direct	Determiner Type=int-rel Person=third Gender=masculine Number=singular Case=direct
05D040301010200000001	Dw3mso---e	Determiner int-rel third masculine singular oblique prenomin	Determiner Type=int-rel Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin
05D040301020100000000	Dw3mpr	Determiner int-rel third masculine plural direct	Determiner Type=int-rel Person=third Gender=masculine Number=plural Case=direct
05D040302010100000000	Dw3fsr	Determiner int-rel third feminine singular direct	Determiner Type=int-rel Person=third Gender=feminine Number=singular Case=direct
05D040302010200000001	Dw3fso---e	Determiner int-rel third feminine singular oblique prenomin	Determiner Type=int-rel Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin
05D040302020100000000	Dw3fpr	Determiner int-rel third feminine plural direct	Determiner Type=int-rel Person=third Gender=feminine Number=plural Case=direct
05D050300020200000001	Dz3-po---e	Determiner negative third plural oblique prenomin	Determiner Type=negative Person=third Number=plural Case=oblique Modific_Type=prenomin
05D050301010100000001	Dz3msr---e	Determiner negative third masculine singular direct prenomin	Determiner Type=negative Person=third Gender=masculine Number=singular Case=direct Modific_Type=prenomin
05D050301010200000001	Dz3mso---e	Determiner negative third masculine singular oblique prenomin	Determiner Type=negative Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin
05D050301020100000001	Dz3mpr---e	Determiner negative third masculine plural direct prenomin	Determiner Type=negative Person=third Gender=masculine Number=plural Case=direct Modific_Type=prenomin
05D050302010100000001	Dz3fsr---e	Determiner negative third feminine singular direct prenomin	Determiner Type=negative Person=third Gender=feminine Number=singular Case=direct Modific_Type=prenomin
05D050302010200000001	Dz3fso---e	Determiner negative third feminine singular oblique prenomin	Determiner Type=negative Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin
05D060101010000000000	Dh1ms	Determiner emphatic first masculine singular	Determiner Type=emphatic Person=first Gender=masculine Number=singular
05D060101020000000000	Dh1mp	Determiner emphatic first masculine plural	Determiner Type=emphatic Person=first Gender=masculine Number=plural
05D060102010100000000	Dh1fsr	Determiner emphatic first feminine singular direct	Determiner Type=emphatic Person=first Gender=feminine Number=singular Case=direct
05D060102010200000000	Dh1fso	Determiner emphatic first feminine singular oblique	Determiner Type=emphatic Person=first Gender=feminine Number=singular Case=oblique
05D060102020000000000	Dh1fp	Determiner emphatic first feminine plural	Determiner Type=emphatic Person=first Gender=feminine Number=plural
05D060201010000000000	Dh2ms	Determiner emphatic second masculine singular	Determiner Type=emphatic Person=second Gender=masculine Number=singular
05D060201020000000000	Dh2mp	Determiner emphatic second masculine plural	Determiner Type=emphatic Person=second Gender=masculine Number=plural
05D060202010100000000	Dh2fsr	Determiner emphatic second feminine singular direct	Determiner Type=emphatic Person=second Gender=feminine Number=singular Case=direct
05D060202010200000000	Dh2fso	Determiner emphatic second feminine singular oblique	Determiner Type=emphatic Person=second Gender=feminine Number=singular Case=oblique
05D060202020000000000	Dh2fp	Determiner emphatic second feminine plural	Determiner Type=emphatic Person=second Gender=feminine Number=plural
05D060301010000000000	Dh3ms	Determiner emphatic third masculine singular	Determiner Type=emphatic Person=third Gender=masculine Number=singular
05D060301020000000000	Dh3mp	Determiner emphatic third masculine plural	Determiner Type=emphatic Person=third Gender=masculine Number=plural
05D060302010100000000	Dh3fsr	Determiner emphatic third feminine singular direct	Determiner Type=emphatic Person=third Gender=feminine Number=singular Case=direct
05D060302010200000000	Dh3fso	Determiner emphatic third feminine singular oblique	Determiner Type=emphatic Person=third Gender=feminine Number=singular Case=oblique
05D060302020000000000	Dh3fp	Determiner emphatic third feminine plural	Determiner Type=emphatic Person=third Gender=feminine Number=plural
06T0100010200	Tf-so	Article definite singular oblique	Article Type=definite Number=singular Case=oblique
06T0101010002	Tfms-y	Article definite masculine singular +Clitic	Article Type=definite Gender=masculine Number=singular Clitic=yes
06T0101010102	Tfmsry	Article definite masculine singular direct +Clitic	Article Type=definite Gender=masculine Number=singular Case=direct Clitic=yes
06T0101010202	Tfmsoy	Article definite masculine singular oblique +Clitic	Article Type=definite Gender=masculine Number=singular Case=oblique Clitic=yes
06T0101020102	Tfmpry	Article definite masculine plural direct +Clitic	Article Type=definite Gender=masculine Number=plural Case=direct Clitic=yes
06T0101020202	Tfmpoy	Article definite masculine plural oblique +Clitic	Article Type=definite Gender=masculine Number=plural Case=oblique Clitic=yes
06T0102010002	Tffs-y	Article definite feminine singular +Clitic	Article Type=definite Gender=feminine Number=singular Clitic=yes
06T0102010202	Tffsoy	Article definite feminine singular oblique +Clitic	Article Type=definite Gender=feminine Number=singular Case=oblique Clitic=yes
06T0102020102	Tffpry	Article definite feminine plural direct +Clitic	Article Type=definite Gender=feminine Number=plural Case=direct Clitic=yes
06T0102020202	Tffpoy	Article definite feminine plural oblique +Clitic	Article Type=definite Gender=feminine Number=plural Case=oblique Clitic=yes
06T0200020200	Ti-po	Article indefinite plural oblique	Article Type=indefinite Number=plural Case=oblique
06T0201010100	Timsr	Article indefinite masculine singular direct	Article Type=indefinite Gender=masculine Number=singular Case=direct
06T0201010102	Timsry	Article indefinite masculine singular direct +Clitic	Article Type=indefinite Gender=masculine Number=singular Case=direct Clitic=yes
06T0201010200	Timso	Article indefinite masculine singular oblique	Article Type=indefinite Gender=masculine Number=singular Case=oblique
06T0201020002	Timp-y	Article indefinite masculine plural +Clitic	Article Type=indefinite Gender=masculine Number=plural Clitic=yes
06T0202010100	Tifsr	Article indefinite feminine singular direct	Article Type=indefinite Gender=feminine Number=singular Case=direct
06T0202010102	Tifsry	Article indefinite feminine singular direct +Clitic	Article Type=indefinite Gender=feminine Number=singular Case=direct Clitic=yes
06T0202010200	Tifso	Article indefinite feminine singular oblique	Article Type=indefinite Gender=feminine Number=singular Case=oblique
06T0202010202	Tifsoy	Article indefinite feminine singular oblique +Clitic	Article Type=indefinite Gender=feminine Number=singular Case=oblique Clitic=yes
06T0202020002	Tifp-y	Article indefinite feminine plural +Clitic	Article Type=indefinite Gender=feminine Number=plural Clitic=yes
06T0300020200	Ts-po	Article possessive plural oblique	Article Type=possessive Number=plural Case=oblique
06T0301010000	Tsms	Article possessive masculine singular	Article Type=possessive Gender=masculine Number=singular
06T0301020000	Tsmp	Article possessive masculine plural	Article Type=possessive Gender=masculine Number=plural
06T0302010000	Tsfs	Article possessive feminine singular	Article Type=possessive Gender=feminine Number=singular
06T0302020000	Tsfp	Article possessive feminine plural	Article Type=possessive Gender=feminine Number=plural
06T0400020200	Td-po	Article demonstrative plural oblique	Article Type=demonstrative Number=plural Case=oblique
06T0401010100	Tdmsr	Article demonstrative masculine singular direct	Article Type=demonstrative Gender=masculine Number=singular Case=direct
06T0401010200	Tdmso	Article demonstrative masculine singular oblique	Article Type=demonstrative Gender=masculine Number=singular Case=oblique
06T0401020100	Tdmpr	Article demonstrative masculine plural direct	Article Type=demonstrative Gender=masculine Number=plural Case=direct
06T0402010100	Tdfsr	Article demonstrative feminine singular direct	Article Type=demonstrative Gender=feminine Number=singular Case=direct
06T0402010200	Tdfso	Article demonstrative feminine singular oblique	Article Type=demonstrative Gender=feminine Number=singular Case=oblique
06T0402020100	Tdfpr	Article demonstrative feminine plural direct	Article Type=demonstrative Gender=feminine Number=plural Case=direct
07R010100	Rgp	Adverb general positive	Adverb Type=general Degree=positive
07R010102	Rgpy	Adverb general positive +Clitic	Adverb Type=general Degree=positive Clitic=yes
07R010200	Rgc	Adverb general comparative	Adverb Type=general Degree=comparative
07R010300	Rgs	Adverb general superlative	Adverb Type=general Degree=superlative
07R020000	Rp	Adverb particle	Adverb Type=particle
07R020002	Rp-y	Adverb particle +Clitic	Adverb Type=particle Clitic=yes
07R030000	Rz	Adverb negative	Adverb Type=negative
07R050000	Rw	Adverb int-rel	Adverb Type=int-rel
07R050002	Rw-y	Adverb int-rel +Clitic	Adverb Type=int-rel Clitic=yes
07R060000	Rc	Adverb portmanteau	Adverb Type=portmanteau
08S01010100	Spsg	Adposition preposition simple genitive	Adposition Type=preposition Formation=simple Case=genitive
08S01010102	Spsgy	Adposition preposition simple genitive +Clitic	Adposition Type=preposition Formation=simple Case=genitive Clitic=yes
08S01010200	Spsd	Adposition preposition simple dative	Adposition Type=preposition Formation=simple Case=dative
08S01010300	Spsa	Adposition preposition simple accusative	Adposition Type=preposition Formation=simple Case=accusative
08S01010302	Spsay	Adposition preposition simple accusative +Clitic	Adposition Type=preposition Formation=simple Case=accusative Clitic=yes
08S01020100	Spcg	Adposition preposition compound genitive	Adposition Type=preposition Formation=compound Case=genitive
08S01020300	Spca	Adposition preposition compound accusative	Adposition Type=preposition Formation=compound Case=accusative
09C0101010200	Ccssp	Conjunction coordinating simple simple positive	Conjunction Type=coordinating Formation=simple Coord_Type=simple Sub_Type=positive
09C0101010202	Ccsspy	Conjunction coordinating simple simple positive +Clitic	Conjunction Type=coordinating Formation=simple Coord_Type=simple Sub_Type=positive Clitic=yes
09C0102010200	Cccsp	Conjunction coordinating compound simple positive	Conjunction Type=coordinating Formation=compound Coord_Type=simple Sub_Type=positive
09C0201010200	Csssp	Conjunction subordinating simple simple positive	Conjunction Type=subordinating Formation=simple Coord_Type=simple Sub_Type=positive
09C0201010202	Cssspy	Conjunction subordinating simple simple positive +Clitic	Conjunction Type=subordinating Formation=simple Coord_Type=simple Sub_Type=positive Clitic=yes
09C0202010200	Cscsp	Conjunction subordinating compound simple positive	Conjunction Type=subordinating Formation=compound Coord_Type=simple Sub_Type=positive
09C0301010200	Crssp	Conjunction portmanteau simple simple positive	Conjunction Type=portmanteau Formation=simple Coord_Type=simple Sub_Type=positive
10M01000100010000	Mc-s-d	Numeral cardinal singular digit	Numeral Type=cardinal Number=singular Form=digit
10M01000200030000	Mc-p-l	Numeral cardinal plural letter	Numeral Type=cardinal Number=plural Form=letter
10M01010100030100	Mcms-ln	Numeral cardinal masculine singular letter -Definiteness	Numeral Type=cardinal Gender=masculine Number=singular Form=letter Definiteness=no
10M01010101030000	Mcmsrl	Numeral cardinal masculine singular direct letter	Numeral Type=cardinal Gender=masculine Number=singular Case=direct Form=letter
10M01010101030200	Mcmsrly	Numeral cardinal masculine singular direct letter +Definiteness	Numeral Type=cardinal Gender=masculine Number=singular Case=direct Form=letter Definiteness=yes
10M01010102030200	Mcmsoly	Numeral cardinal masculine singular oblique letter +Definiteness	Numeral Type=cardinal Gender=masculine Number=singular Case=oblique Form=letter Definiteness=yes
10M01010200030000	Mcmp-l	Numeral cardinal masculine plural letter	Numeral Type=cardinal Gender=masculine Number=plural Form=letter
10M01020101030100	Mcfsrln	Numeral cardinal feminine singular direct letter -Definiteness	Numeral Type=cardinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=no
10M01020101030200	Mcfsrly	Numeral cardinal feminine singular direct letter +Definiteness	Numeral Type=cardinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes
10M01020102030100	Mcfsoln	Numeral cardinal feminine singular oblique letter -Definiteness	Numeral Type=cardinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=no
10M01020102030200	Mcfsoly	Numeral cardinal feminine singular oblique letter +Definiteness	Numeral Type=cardinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes
10M01020200030000	Mcfp-l	Numeral cardinal feminine plural letter	Numeral Type=cardinal Gender=feminine Number=plural Form=letter
10M01020200030100	Mcfp-ln	Numeral cardinal feminine plural letter -Definiteness	Numeral Type=cardinal Gender=feminine Number=plural Form=letter Definiteness=no
10M01020201030100	Mcfprln	Numeral cardinal feminine plural direct letter -Definiteness	Numeral Type=cardinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=no
10M01020201030200	Mcfprly	Numeral cardinal feminine plural direct letter +Definiteness	Numeral Type=cardinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes
10M01020202030200	Mcfpoly	Numeral cardinal feminine plural oblique letter +Definiteness	Numeral Type=cardinal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes
10M02000000030000	Mo---l	Numeral ordinal letter	Numeral Type=ordinal Form=letter
10M02000000030100	Mo---ln	Numeral ordinal letter -Definiteness	Numeral Type=ordinal Form=letter Definiteness=no
10M02000000030102	Mo---lny	Numeral ordinal letter -Definiteness +Clitic	Numeral Type=ordinal Form=letter Definiteness=no Clitic=yes
10M02000100020000	Mo-s-r	Numeral ordinal singular roman	Numeral Type=ordinal Number=singular Form=roman
10M02010100030000	Moms-l	Numeral ordinal masculine singular letter	Numeral Type=ordinal Gender=masculine Number=singular Form=letter
10M02010100030100	Moms-ln	Numeral ordinal masculine singular letter -Definiteness	Numeral Type=ordinal Gender=masculine Number=singular Form=letter Definiteness=no
10M02010101030200	Momsrly	Numeral ordinal masculine singular direct letter +Definiteness	Numeral Type=ordinal Gender=masculine Number=singular Case=direct Form=letter Definiteness=yes
10M02010101030202	Momsrlyy	Numeral ordinal masculine singular direct letter +Definiteness +Clitic	Numeral Type=ordinal Gender=masculine Number=singular Case=direct Form=letter Definiteness=yes Clitic=yes
10M02010102030200	Momsoly	Numeral ordinal masculine singular oblique letter +Definiteness	Numeral Type=ordinal Gender=masculine Number=singular Case=oblique Form=letter Definiteness=yes
10M02010102030202	Momsolyy	Numeral ordinal masculine singular oblique letter +Definiteness +Clitic	Numeral Type=ordinal Gender=masculine Number=singular Case=oblique Form=letter Definiteness=yes Clitic=yes
10M02010200030100	Momp-ln	Numeral ordinal masculine plural letter -Definiteness	Numeral Type=ordinal Gender=masculine Number=plural Form=letter Definiteness=no
10M02010201030200	Momprly	Numeral ordinal masculine plural direct letter +Definiteness	Numeral Type=ordinal Gender=masculine Number=plural Case=direct Form=letter Definiteness=yes
10M02010201030202	Momprlyy	Numeral ordinal masculine plural direct letter +Definiteness +Clitic	Numeral Type=ordinal Gender=masculine Number=plural Case=direct Form=letter Definiteness=yes Clitic=yes
10M02010202030200	Mompoly	Numeral ordinal masculine plural oblique letter +Definiteness	Numeral Type=ordinal Gender=masculine Number=plural Case=oblique Form=letter Definiteness=yes
10M02010202030202	Mompolyy	Numeral ordinal masculine plural oblique letter +Definiteness +Clitic	Numeral Type=ordinal Gender=masculine Number=plural Case=oblique Form=letter Definiteness=yes Clitic=yes
10M02020100030000	Mofs-l	Numeral ordinal feminine singular letter	Numeral Type=ordinal Gender=feminine Number=singular Form=letter
10M02020101030100	Mofsrln	Numeral ordinal feminine singular direct letter -Definiteness	Numeral Type=ordinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=no
10M02020101030200	Mofsrly	Numeral ordinal feminine singular direct letter +Definiteness	Numeral Type=ordinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes
10M02020101030202	Mofsrlyy	Numeral ordinal feminine singular direct letter +Definiteness +Clitic	Numeral Type=ordinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes Clitic=yes
10M02020102030100	Mofsoln	Numeral ordinal feminine singular oblique letter -Definiteness	Numeral Type=ordinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=no
10M02020102030200	Mofsoly	Numeral ordinal feminine singular oblique letter +Definiteness	Numeral Type=ordinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes
10M02020102030202	Mofsolyy	Numeral ordinal feminine singular oblique letter +Definiteness +Clitic	Numeral Type=ordinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes Clitic=yes
10M02020200030100	Mofp-ln	Numeral ordinal feminine plural letter -Definiteness	Numeral Type=ordinal Gender=feminine Number=plural Form=letter Definiteness=no
10M02020201030200	Mofprly	Numeral ordinal feminine plural direct letter +Definiteness	Numeral Type=ordinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes
10M02020201030202	Mofprlyy	Numeral ordinal feminine plural direct letter +Definiteness +Clitic	Numeral Type=ordinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes Clitic=yes
10M02020202030200	Mofpoly	Numeral ordinal feminine plural oblique letter +Definiteness	Numeral Type=ordinal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes
10M02020202030202	Mofpolyy	Numeral ordinal feminine plural oblique letter +Definiteness +Clitic	Numeral Type=ordinal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes Clitic=yes
10M03020101030100	Mffsrln	Numeral fractal feminine singular direct letter -Definiteness	Numeral Type=fractal Gender=feminine Number=singular Case=direct Form=letter Definiteness=no
10M03020101030200	Mffsrly	Numeral fractal feminine singular direct letter +Definiteness	Numeral Type=fractal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes
10M03020102030100	Mffsoln	Numeral fractal feminine singular oblique letter -Definiteness	Numeral Type=fractal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=no
10M03020102030200	Mffsoly	Numeral fractal feminine singular oblique letter +Definiteness	Numeral Type=fractal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes
10M03020201030100	Mffprln	Numeral fractal feminine plural direct letter -Definiteness	Numeral Type=fractal Gender=feminine Number=plural Case=direct Form=letter Definiteness=no
10M03020201030200	Mffprly	Numeral fractal feminine plural direct letter +Definiteness	Numeral Type=fractal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes
10M03020202030200	Mffpoly	Numeral fractal feminine plural oblique letter +Definiteness	Numeral Type=fractal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes
10M04010101000100	Mmmsr-n	Numeral multiple masculine singular direct -Definiteness	Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=no
10M04010101000102	Mmmsr-ny	Numeral multiple masculine singular direct -Definiteness +Clitic	Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=no Clitic=yes
10M04010101000200	Mmmsr-y	Numeral multiple masculine singular direct +Definiteness	Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=yes
10M04010101000202	Mmmsr-yy	Numeral multiple masculine singular direct +Definiteness +Clitic	Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=yes Clitic=yes
10M04010102000200	Mmmso-y	Numeral multiple masculine singular oblique +Definiteness	Numeral Type=multiple Gender=masculine Number=singular Case=oblique Definiteness=yes
10M04010102000202	Mmmso-yy	Numeral multiple masculine singular oblique +Definiteness +Clitic	Numeral Type=multiple Gender=masculine Number=singular Case=oblique Definiteness=yes Clitic=yes
10M04010201000100	Mmmpr-n	Numeral multiple masculine plural direct -Definiteness	Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=no
10M04010201000102	Mmmpr-ny	Numeral multiple masculine plural direct -Definiteness +Clitic	Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=no Clitic=yes
10M04010201000200	Mmmpr-y	Numeral multiple masculine plural direct +Definiteness	Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=yes
10M04010201000202	Mmmpr-yy	Numeral multiple masculine plural direct +Definiteness +Clitic	Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=yes Clitic=yes
10M04010202000200	Mmmpo-y	Numeral multiple masculine plural oblique +Definiteness	Numeral Type=multiple Gender=masculine Number=plural Case=oblique Definiteness=yes
10M04010202000202	Mmmpo-yy	Numeral multiple masculine plural oblique +Definiteness +Clitic	Numeral Type=multiple Gender=masculine Number=plural Case=oblique Definiteness=yes Clitic=yes
10M04020101000100	Mmfsr-n	Numeral multiple feminine singular direct -Definiteness	Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=no
10M04020101000102	Mmfsr-ny	Numeral multiple feminine singular direct -Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=no Clitic=yes
10M04020101000200	Mmfsr-y	Numeral multiple feminine singular direct +Definiteness	Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=yes
10M04020101000202	Mmfsr-yy	Numeral multiple feminine singular direct +Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=yes Clitic=yes
10M04020102000100	Mmfso-n	Numeral multiple feminine singular oblique -Definiteness	Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=no
10M04020102000102	Mmfso-ny	Numeral multiple feminine singular oblique -Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=no Clitic=yes
10M04020102000200	Mmfso-y	Numeral multiple feminine singular oblique +Definiteness	Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=yes
10M04020102000202	Mmfso-yy	Numeral multiple feminine singular oblique +Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=yes Clitic=yes
10M04020200000100	Mmfp--n	Numeral multiple feminine plural -Definiteness	Numeral Type=multiple Gender=feminine Number=plural Definiteness=no
10M04020200000102	Mmfp--ny	Numeral multiple feminine plural -Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=plural Definiteness=no Clitic=yes
10M04020201000200	Mmfpr-y	Numeral multiple feminine plural direct +Definiteness	Numeral Type=multiple Gender=feminine Number=plural Case=direct Definiteness=yes
10M04020201000202	Mmfpr-yy	Numeral multiple feminine plural direct +Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=plural Case=direct Definiteness=yes Clitic=yes
