01N01010000000000	Ncm	Noun common masculine	Noun Type=common Gender=masculine
04P040101010402000000020001	Ps1msap---a-n	Pronoun possessive first masculine singular accusative plural adjectival -Animate	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=accusative Owner_Number=plural Syntactic_Type=adjectival Animate=no
04P040101010402000000020002	Ps1msap---a-y	Pronoun possessive first masculine singular accusative plural adjectival +Animate	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=accusative Owner_Number=plural Syntactic_Type=adjectival Animate=yes
04P040101020101000000020000	Ps1mpns---a	Pronoun possessive first masculine plural nominative singular adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=nominative Owner_Number=singular Syntactic_Type=adjectival
04P040101020102000000020000	Ps1mpnp---a	Pronoun possessive first masculine plural nominative plural adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=nominative Owner_Number=plural Syntactic_Type=adjectival
04P040101020202000000010000	Ps1mpgp---n	Pronoun possessive first masculine plural genitive plural nominal	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=genitive Owner_Number=plural Syntactic_Type=nominal
04P040101020202000000020000	Ps1mpgp---a	Pronoun possessive first masculine plural genitive plural adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=genitive Owner_Number=plural Syntactic_Type=adjectival
04P040101020302000000020000	Ps1mpdp---a	Pronoun possessive first masculine plural dative plural adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=dative Owner_Number=plural Syntactic_Type=adjectival
04P040101020402000000020000	Ps1mpap---a	Pronoun possessive first masculine plural accusative plural adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=accusative Owner_Number=plural Syntactic_Type=adjectival
04P040101020601000000020000	Ps1mpis---a	Pronoun possessive first masculine plural instrumental singular adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=plural Case=instrumental Owner_Number=singular Syntactic_Type=adjectival
04P040102010101000000020000	Ps1fsns---a	Pronoun possessive first feminine singular nominative singular adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=nominative Owner_Number=singular Syntactic_Type=adjectival
04P040102010102000000020000	Ps1fsnp---a	Pronoun possessive first feminine singular nominative plural adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=nominative Owner_Number=plural Syntactic_Type=adjectival
04P040102010201000000020000	Ps1fsgs---a	Pronoun possessive first feminine singular genitive singular adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=genitive Owner_Number=singular Syntactic_Type=adjectival
04P040102010202000000020000	Ps1fsgp---a	Pronoun possessive first feminine singular genitive plural adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=genitive Owner_Number=plural Syntactic_Type=adjectival
04P040102010301000000020000	Ps1fsds---a	Pronoun possessive first feminine singular dative singular adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=dative Owner_Number=singular Syntactic_Type=adjectival
04P040102010401000000020000	Ps1fsas---a	Pronoun possessive first feminine singular accusative singular adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=accusative Owner_Number=singular Syntactic_Type=adjectival
04P040102010402000000020000	Ps1fsap---a	Pronoun possessive first feminine singular accusative plural adjectival	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=accusative Owner_Number=plural Syntactic_Type=adjectival
04P040103010101000000010000	Ps1nsns---n	Pronoun possessive first neuter singular nominative singular nominal	Pronoun Type=possessive Person=first Gender=neuter Number=singular Case=nominative Owner_Number=singular Syntactic_Type=nominal
04P040103010101000000020000	Ps1nsns---a	Pronoun possessive first neuter singular nominative singular adjectival	Pronoun Type=possessive Person=first Gender=neuter Number=singular Case=nominative Owner_Number=singular Syntactic_Type=adjectival
04P040103010401000000020001	Ps1nsas---a-n	Pronoun possessive first neuter singular accusative singular adjectival -Animate	Pronoun Type=possessive Person=first Gender=neuter Number=singular Case=accusative Owner_Number=singular Syntactic_Type=adjectival Animate=no
04P040201010101000000020000	Ps2msns---a	Pronoun possessive second masculine singular nominative singular adjectival	Pronoun Type=possessive Person=second Gender=masculine Number=singular Case=nominative Owner_Number=singular Syntactic_Type=adjectival
04P040201010102000000020000	Ps2msnp---a	Pronoun possessive second masculine singular nominative plural adjectival	Pronoun Type=possessive Person=second Gender=masculine Number=singular Case=nominative Owner_Number=plural Syntactic_Type=adjectival
04P040201010202000000020000	Ps2msgp---a	Pronoun possessive second masculine singular genitive plural adjectival	Pronoun Type=possessive Person=second Gender=masculine Number=singular Case=genitive Owner_Number=plural Syntactic_Type=adjectival
04P040201010401000000020002	Ps2msas---a-y	Pronoun possessive second masculine singular accusative singular adjectival +Animate	Pronoun Type=possessive Person=second Gender=masculine Number=singular Case=accusative Owner_Number=singular Syntactic_Type=adjectival Animate=yes
04P040201020302000000020000	Ps2mpdp---a	Pronoun possessive second masculine plural dative plural adjectival	Pronoun Type=possessive Person=second Gender=masculine Number=plural Case=dative Owner_Number=plural Syntactic_Type=adjectival
04P040202010102000000020000	Ps2fsnp---a	Pronoun possessive second feminine singular nominative plural adjectival	Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=nominative Owner_Number=plural Syntactic_Type=adjectival
04P040202010502000000020000	Ps2fslp---a	Pronoun possessive second feminine singular locative plural adjectival	Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=locative Owner_Number=plural Syntactic_Type=adjectival
04P040202010602000000020000	Ps2fsip---a	Pronoun possessive second feminine singular instrumental plural adjectival	Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=instrumental Owner_Number=plural Syntactic_Type=adjectival
04P040203010101000000010000	Ps2nsns---n	Pronoun possessive second neuter singular nominative singular nominal	Pronoun Type=possessive Person=second Gender=neuter Number=singular Case=nominative Owner_Number=singular Syntactic_Type=nominal
04P040203010102000000020000	Ps2nsnp---a	Pronoun possessive second neuter singular nominative plural adjectival	Pronoun Type=possessive Person=second Gender=neuter Number=singular Case=nominative Owner_Number=plural Syntactic_Type=adjectival
04P040203010601000000020000	Ps2nsis---a	Pronoun possessive second neuter singular instrumental singular adjectival	Pronoun Type=possessive Person=second Gender=neuter Number=singular Case=instrumental Owner_Number=singular Syntactic_Type=adjectival
04P040203020402000000020000	Ps2npap---a	Pronoun possessive second neuter plural accusative plural adjectival	Pronoun Type=possessive Person=second Gender=neuter Number=plural Case=accusative Owner_Number=plural Syntactic_Type=adjectival
04P040300000001010000020000	Ps3---sm--a	Pronoun possessive third singular masculine adjectival	Pronoun Type=possessive Person=third Owner_Number=singular Owner_Gender=masculine Syntactic_Type=adjectival
04P040300000001020000020000	Ps3---sf--a	Pronoun possessive third singular feminine adjectival	Pronoun Type=possessive Person=third Owner_Number=singular Owner_Gender=feminine Syntactic_Type=adjectival
04P040300000002000000020000	Ps3---p---a	Pronoun possessive third plural adjectival	Pronoun Type=possessive Person=third Owner_Number=plural Syntactic_Type=adjectival
04P040300000003000000020000	Ps3---d---a	Pronoun possessive third dual adjectival	Pronoun Type=possessive Person=third Owner_Number=dual Syntactic_Type=adjectival
04P050000000100000000010000	Pq---n----n	Pronoun interrogative nominative nominal	Pronoun Type=interrogative Case=nominative Syntactic_Type=nominal
04P050000000400000000010000	Pq---a----n	Pronoun interrogative accusative nominal	Pronoun Type=interrogative Case=accusative Syntactic_Type=nominal
04P050001010100000000010000	Pq-msn----n	Pronoun interrogative masculine singular nominative nominal	Pronoun Type=interrogative Gender=masculine Number=singular Case=nominative Syntactic_Type=nominal
04P050001020100000000010000	Pq-mpn----n	Pronoun interrogative masculine plural nominative nominal	Pronoun Type=interrogative Gender=masculine Number=plural Case=nominative Syntactic_Type=nominal
04P050002010100000000010000	Pq-fsn----n	Pronoun interrogative feminine singular nominative nominal	Pronoun Type=interrogative Gender=feminine Number=singular Case=nominative Syntactic_Type=nominal
04P050002010100000000020000	Pq-fsn----a	Pronoun interrogative feminine singular nominative adjectival	Pronoun Type=interrogative Gender=feminine Number=singular Case=nominative Syntactic_Type=adjectival
04P050002010500000000020000	Pq-fsl----a	Pronoun interrogative feminine singular locative adjectival	Pronoun Type=interrogative Gender=feminine Number=singular Case=locative Syntactic_Type=adjectival
04P050002020100000000010000	Pq-fpn----n	Pronoun interrogative feminine plural nominative nominal	Pronoun Type=interrogative Gender=feminine Number=plural Case=nominative Syntactic_Type=nominal
04P060000000000000000010000	Pr--------n	Pronoun relative nominal	Pronoun Type=relative Syntactic_Type=nominal
04P060002010100000000020000	Pr-fsn----a	Pronoun relative feminine singular nominative adjectival	Pronoun Type=relative Gender=feminine Number=singular Case=nominative Syntactic_Type=adjectival
04P070000000000000200000000	Px------y	Pronoun reflexive +Clitic	Pronoun Type=reflexive Clitic=yes
04P070000000300000201010000	Px---d--ypn	Pronoun reflexive dative +Clitic personal nominal	Pronoun Type=reflexive Case=dative Clitic=yes Referent_Type=personal Syntactic_Type=nominal
04P070000000400000101010000	Px---a--npn	Pronoun reflexive accusative -Clitic personal nominal	Pronoun Type=reflexive Case=accusative Clitic=no Referent_Type=personal Syntactic_Type=nominal
04P070000000600000101010000	Px---i--npn	Pronoun reflexive instrumental -Clitic personal nominal	Pronoun Type=reflexive Case=instrumental Clitic=no Referent_Type=personal Syntactic_Type=nominal
04P070001020400000002020000	Px-mpa---sa	Pronoun reflexive masculine plural accusative possessive adjectival	Pronoun Type=reflexive Gender=masculine Number=plural Case=accusative Referent_Type=possessive Syntactic_Type=adjectival
04P080000000100000000010000	Pz---n----n	Pronoun negative nominative nominal	Pronoun Type=negative Case=nominative Syntactic_Type=nominal
04P080000000200000000010000	Pz---g----n	Pronoun negative genitive nominal	Pronoun Type=negative Case=genitive Syntactic_Type=nominal
04P080000000400000000010000	Pz---a----n	Pronoun negative accusative nominal	Pronoun Type=negative Case=accusative Syntactic_Type=nominal
04P080001010200000000010000	Pz-msg----n	Pronoun negative masculine singular genitive nominal	Pronoun Type=negative Gender=masculine Number=singular Case=genitive Syntactic_Type=nominal
04P080003010200000000020000	Pz-nsg----a	Pronoun negative neuter singular genitive adjectival	Pronoun Type=negative Gender=neuter Number=singular Case=genitive Syntactic_Type=adjectival
04P090000000000000000020000	Pg--------a	Pronoun general adjectival	Pronoun Type=general Syntactic_Type=adjectival
04P090001010100000000010100	Pg-msn----nn	Pronoun general masculine singular nominative nominal -Definiteness	Pronoun Type=general Gender=masculine Number=singular Case=nominative Syntactic_Type=nominal Definiteness=no
04P090001010100000000020100	Pg-msn----an	Pronoun general masculine singular nominative adjectival -Definiteness	Pronoun Type=general Gender=masculine Number=singular Case=nominative Syntactic_Type=adjectival Definiteness=no
04P090001010400000000020001	Pg-msa----a-n	Pronoun general masculine singular accusative adjectival -Animate	Pronoun Type=general Gender=masculine Number=singular Case=accusative Syntactic_Type=adjectival Animate=no
04P090001010400000000020002	Pg-msa----a-y	Pronoun general masculine singular accusative adjectival +Animate	Pronoun Type=general Gender=masculine Number=singular Case=accusative Syntactic_Type=adjectival Animate=yes
04P090001010400000000020201	Pg-msa----ayn	Pronoun general masculine singular accusative adjectival +Definiteness -Animate	Pronoun Type=general Gender=masculine Number=singular Case=accusative Syntactic_Type=adjectival Definiteness=yes Animate=no
04P090001010500000000020000	Pg-msl----a	Pronoun general masculine singular locative adjectival	Pronoun Type=general Gender=masculine Number=singular Case=locative Syntactic_Type=adjectival
04P090001020100000000010000	Pg-mpn----n	Pronoun general masculine plural nominative nominal	Pronoun Type=general Gender=masculine Number=plural Case=nominative Syntactic_Type=nominal
04P090001020100000000020000	Pg-mpn----a	Pronoun general masculine plural nominative adjectival	Pronoun Type=general Gender=masculine Number=plural Case=nominative Syntactic_Type=adjectival
04P090001020200000000010000	Pg-mpg----n	Pronoun general masculine plural genitive nominal	Pronoun Type=general Gender=masculine Number=plural Case=genitive Syntactic_Type=nominal
04P090001020200000000020000	Pg-mpg----a	Pronoun general masculine plural genitive adjectival	Pronoun Type=general Gender=masculine Number=plural Case=genitive Syntactic_Type=adjectival
04P090001020300000000020000	Pg-mpd----a	Pronoun general masculine plural dative adjectival	Pronoun Type=general Gender=masculine Number=plural Case=dative Syntactic_Type=adjectival
04P090001020400000000020000	Pg-mpa----a	Pronoun general masculine plural accusative adjectival	Pronoun Type=general Gender=masculine Number=plural Case=accusative Syntactic_Type=adjectival
04P090001020600000000020000	Pg-mpi----a	Pronoun general masculine plural instrumental adjectival	Pronoun Type=general Gender=masculine Number=plural Case=instrumental Syntactic_Type=adjectival
04P090002010100000000010000	Pg-fsn----n	Pronoun general feminine singular nominative nominal	Pronoun Type=general Gender=feminine Number=singular Case=nominative Syntactic_Type=nominal
04P090002010100000000020000	Pg-fsn----a	Pronoun general feminine singular nominative adjectival	Pronoun Type=general Gender=feminine Number=singular Case=nominative Syntactic_Type=adjectival
04P090002010200000000020000	Pg-fsg----a	Pronoun general feminine singular genitive adjectival	Pronoun Type=general Gender=feminine Number=singular Case=genitive Syntactic_Type=adjectival
04P090002010400000000020000	Pg-fsa----a	Pronoun general feminine singular accusative adjectival	Pronoun Type=general Gender=feminine Number=singular Case=accusative Syntactic_Type=adjectival
04P090002010500000000010000	Pg-fsl----n	Pronoun general feminine singular locative nominal	Pronoun Type=general Gender=feminine Number=singular Case=locative Syntactic_Type=nominal
04P090002010500000000020000	Pg-fsl----a	Pronoun general feminine singular locative adjectival	Pronoun Type=general Gender=feminine Number=singular Case=locative Syntactic_Type=adjectival
04P090002010600000000020000	Pg-fsi----a	Pronoun general feminine singular instrumental adjectival	Pronoun Type=general Gender=feminine Number=singular Case=instrumental Syntactic_Type=adjectival
04P090002020100000000020000	Pg-fpn----a	Pronoun general feminine plural nominative adjectival	Pronoun Type=general Gender=feminine Number=plural Case=nominative Syntactic_Type=adjectival
04P090002020400000000020000	Pg-fpa----a	Pronoun general feminine plural accusative adjectival	Pronoun Type=general Gender=feminine Number=plural Case=accusative Syntactic_Type=adjectival
04P090002020500000000020000	Pg-fpl----a	Pronoun general feminine plural locative adjectival	Pronoun Type=general Gender=feminine Number=plural Case=locative Syntactic_Type=adjectival
04P090003010100000000010000	Pg-nsn----n	Pronoun general neuter singular nominative nominal	Pronoun Type=general Gender=neuter Number=singular Case=nominative Syntactic_Type=nominal
04P090003010100000000020000	Pg-nsn----a	Pronoun general neuter singular nominative adjectival	Pronoun Type=general Gender=neuter Number=singular Case=nominative Syntactic_Type=adjectival
04P090003010200000000010000	Pg-nsg----n	Pronoun general neuter singular genitive nominal	Pronoun Type=general Gender=neuter Number=singular Case=genitive Syntactic_Type=nominal
04P090003010200000000020000	Pg-nsg----a	Pronoun general neuter singular genitive adjectival	Pronoun Type=general Gender=neuter Number=singular Case=genitive Syntactic_Type=adjectival
04P090003010400000000010001	Pg-nsa----n-n	Pronoun general neuter singular accusative nominal -Animate	Pronoun Type=general Gender=neuter Number=singular Case=accusative Syntactic_Type=nominal Animate=no
04P090003010400000000020001	Pg-nsa----a-n	Pronoun general neuter singular accusative adjectival -Animate	Pronoun Type=general Gender=neuter Number=singular Case=accusative Syntactic_Type=adjectival Animate=no
04P090003010500000000020000	Pg-nsl----a	Pronoun general neuter singular locative adjectival	Pronoun Type=general Gender=neuter Number=singular Case=locative Syntactic_Type=adjectival
04P090003010600000000020000	Pg-nsi----a	Pronoun general neuter singular instrumental adjectival	Pronoun Type=general Gender=neuter Number=singular Case=instrumental Syntactic_Type=adjectival
04P090003020500000000020000	Pg-npl----a	Pronoun general neuter plural locative adjectival	Pronoun Type=general Gender=neuter Number=plural Case=locative Syntactic_Type=adjectival
05T010101010000	Tfmsn	Article definite masculine singular nominative	Article Type=definite Gender=masculine Number=singular Case=nominative
05T010101020000	Tfmsg	Article definite masculine singular genitive	Article Type=definite Gender=masculine Number=singular Case=genitive
05T010101030000	Tfmsd	Article definite masculine singular dative	Article Type=definite Gender=masculine Number=singular Case=dative
05T010101040001	Tfmsa-n	Article definite masculine singular accusative -Animate	Article Type=definite Gender=masculine Number=singular Case=accusative Animate=no
05T010101050000	Tfmsl	Article definite masculine singular locative	Article Type=definite Gender=masculine Number=singular Case=locative
05T010102010000	Tfmpn	Article definite masculine plural nominative	Article Type=definite Gender=masculine Number=plural Case=nominative
05T010102020000	Tfmpg	Article definite masculine plural genitive	Article Type=definite Gender=masculine Number=plural Case=genitive
05T010102030000	Tfmpd	Article definite masculine plural dative	Article Type=definite Gender=masculine Number=plural Case=dative
05T010102040000	Tfmpa	Article definite masculine plural accusative	Article Type=definite Gender=masculine Number=plural Case=accusative
05T010103010000	Tfmdn	Article definite masculine dual nominative	Article Type=definite Gender=masculine Number=dual Case=nominative
05T010201010000	Tffsn	Article definite feminine singular nominative	Article Type=definite Gender=feminine Number=singular Case=nominative
05T010201020000	Tffsg	Article definite feminine singular genitive	Article Type=definite Gender=feminine Number=singular Case=genitive
05T010201040000	Tffsa	Article definite feminine singular accusative	Article Type=definite Gender=feminine Number=singular Case=accusative
05T010201050000	Tffsl	Article definite feminine singular locative	Article Type=definite Gender=feminine Number=singular Case=locative
05T010201060000	Tffsi	Article definite feminine singular instrumental	Article Type=definite Gender=feminine Number=singular Case=instrumental
05T010202010000	Tffpn	Article definite feminine plural nominative	Article Type=definite Gender=feminine Number=plural Case=nominative
05T010202020000	Tffpg	Article definite feminine plural genitive	Article Type=definite Gender=feminine Number=plural Case=genitive
05T010202040000	Tffpa	Article definite feminine plural accusative	Article Type=definite Gender=feminine Number=plural Case=accusative
05T010202060000	Tffpi	Article definite feminine plural instrumental	Article Type=definite Gender=feminine Number=plural Case=instrumental
05T010301040001	Tfnsa-n	Article definite neuter singular accusative -Animate	Article Type=definite Gender=neuter Number=singular Case=accusative Animate=no
05T010301040002	Tfnsa-y	Article definite neuter singular accusative +Animate	Article Type=definite Gender=neuter Number=singular Case=accusative Animate=yes
05T010301050000	Tfnsl	Article definite neuter singular locative	Article Type=definite Gender=neuter Number=singular Case=locative
05T010302040000	Tfnpa	Article definite neuter plural accusative	Article Type=definite Gender=neuter Number=plural Case=accusative
05T010302050000	Tfnpl	Article definite neuter plural locative	Article Type=definite Gender=neuter Number=plural Case=locative
05T020101010000	Timsn	Article indefinite masculine singular nominative	Article Type=indefinite Gender=masculine Number=singular Case=nominative
05T020101020000	Timsg	Article indefinite masculine singular genitive	Article Type=indefinite Gender=masculine Number=singular Case=genitive
05T020101040001	Timsa-n	Article indefinite masculine singular accusative -Animate	Article Type=indefinite Gender=masculine Number=singular Case=accusative Animate=no
05T020101040002	Timsa-y	Article indefinite masculine singular accusative +Animate	Article Type=indefinite Gender=masculine Number=singular Case=accusative Animate=yes
05T020101050000	Timsl	Article indefinite masculine singular locative	Article Type=indefinite Gender=masculine Number=singular Case=locative
05T020102010000	Timpn	Article indefinite masculine plural nominative	Article Type=indefinite Gender=masculine Number=plural Case=nominative
05T020102040000	Timpa	Article indefinite masculine plural accusative	Article Type=indefinite Gender=masculine Number=plural Case=accusative
05T020201010000	Tifsn	Article indefinite feminine singular nominative	Article Type=indefinite Gender=feminine Number=singular Case=nominative
05T020201030000	Tifsd	Article indefinite feminine singular dative	Article Type=indefinite Gender=feminine Number=singular Case=dative
05T020201040000	Tifsa	Article indefinite feminine singular accusative	Article Type=indefinite Gender=feminine Number=singular Case=accusative
05T020201050000	Tifsl	Article indefinite feminine singular locative	Article Type=indefinite Gender=feminine Number=singular Case=locative
05T020201060000	Tifsi	Article indefinite feminine singular instrumental	Article Type=indefinite Gender=feminine Number=singular Case=instrumental
05T020301020000	Tinsg	Article indefinite neuter singular genitive	Article Type=indefinite Gender=neuter Number=singular Case=genitive
05T020301040001	Tinsa-n	Article indefinite neuter singular accusative -Animate	Article Type=indefinite Gender=neuter Number=singular Case=accusative Animate=no
05T020302040000	Tinpa	Article indefinite neuter plural accusative	Article Type=indefinite Gender=neuter Number=plural Case=accusative
06R0101	Rgp	Adverb general positive	Adverb Type=general Degree=positive
06R0102	Rgc	Adverb general comparative	Adverb Type=general Degree=comparative
06R0103	Rgs	Adverb general superlative	Adverb Type=general Degree=superlative
07S010100	Sps	Adposition preposition simple	Adposition Type=preposition Formation=simple
07S010101	Spsn	Adposition preposition simple nominative	Adposition Type=preposition Formation=simple Case=nominative
07S010102	Spsg	Adposition preposition simple genitive	Adposition Type=preposition Formation=simple Case=genitive
07S010103	Spsd	Adposition preposition simple dative	Adposition Type=preposition Formation=simple Case=dative
07S010104	Spsa	Adposition preposition simple accusative	Adposition Type=preposition Formation=simple Case=accusative
07S010105	Spsl	Adposition preposition simple locative	Adposition Type=preposition Formation=simple Case=locative
07S010106	Spsi	Adposition preposition simple instrumental	Adposition Type=preposition Formation=simple Case=instrumental
07S010200	Spc	Adposition preposition compound	Adposition Type=preposition Formation=compound
07S010202	Spcg	Adposition preposition compound genitive	Adposition Type=preposition Formation=compound Case=genitive
07S010203	Spcd	Adposition preposition compound dative	Adposition Type=preposition Formation=compound Case=dative
07S010204	Spca	Adposition preposition compound accusative	Adposition Type=preposition Formation=compound Case=accusative
07S010205	Spcl	Adposition preposition compound locative	Adposition Type=preposition Formation=compound Case=locative
07S010206	Spci	Adposition preposition compound instrumental	Adposition Type=preposition Formation=compound Case=instrumental
08C0101	Ccs	Conjunction coordinating simple	Conjunction Type=coordinating Formation=simple
08C0102	Ccc	Conjunction coordinating compound	Conjunction Type=coordinating Formation=compound
08C0201	Css	Conjunction subordinating simple	Conjunction Type=subordinating Formation=simple
08C0202	Csc	Conjunction subordinating compound	Conjunction Type=subordinating Formation=compound
09M010000000100000000	Mc---d	Numeral cardinal digit	Numeral Type=cardinal Form=digit
09M010002000300000000	Mc-p-l	Numeral cardinal plural letter	Numeral Type=cardinal Number=plural Form=letter
09M010002020300000000	Mc-pgl	Numeral cardinal plural genitive letter	Numeral Type=cardinal Number=plural Case=genitive Form=letter
09M010002050300000000	Mc-pll	Numeral cardinal plural locative letter	Numeral Type=cardinal Number=plural Case=locative Form=letter
09M010101010300000000	Mcmsnl	Numeral cardinal masculine singular nominative letter	Numeral Type=cardinal Gender=masculine Number=singular Case=nominative Form=letter
09M010101040300000002	Mcmsal---y	Numeral cardinal masculine singular accusative letter +Animate	Numeral Type=cardinal Gender=masculine Number=singular Case=accusative Form=letter Animate=yes
09M010102010300000000	Mcmpnl	Numeral cardinal masculine plural nominative letter	Numeral Type=cardinal Gender=masculine Number=plural Case=nominative Form=letter
09M010103010300000000	Mcmdnl	Numeral cardinal masculine dual nominative letter	Numeral Type=cardinal Gender=masculine Number=dual Case=nominative Form=letter
09M010103040300000000	Mcmdal	Numeral cardinal masculine dual accusative letter	Numeral Type=cardinal Gender=masculine Number=dual Case=accusative Form=letter
09M010201010300000000	Mcfsnl	Numeral cardinal feminine singular nominative letter	Numeral Type=cardinal Gender=feminine Number=singular Case=nominative Form=letter
09M010201030300000000	Mcfsdl	Numeral cardinal feminine singular dative letter	Numeral Type=cardinal Gender=feminine Number=singular Case=dative Form=letter
09M010201040300000000	Mcfsal	Numeral cardinal feminine singular accusative letter	Numeral Type=cardinal Gender=feminine Number=singular Case=accusative Form=letter
09M010201050300000000	Mcfsll	Numeral cardinal feminine singular locative letter	Numeral Type=cardinal Gender=feminine Number=singular Case=locative Form=letter
09M010201060300000000	Mcfsil	Numeral cardinal feminine singular instrumental letter	Numeral Type=cardinal Gender=feminine Number=singular Case=instrumental Form=letter
09M010202010300000000	Mcfpnl	Numeral cardinal feminine plural nominative letter	Numeral Type=cardinal Gender=feminine Number=plural Case=nominative Form=letter
09M010202040300000000	Mcfpal	Numeral cardinal feminine plural accusative letter	Numeral Type=cardinal Gender=feminine Number=plural Case=accusative Form=letter
09M010203040300000000	Mcfdal	Numeral cardinal feminine dual accusative letter	Numeral Type=cardinal Gender=feminine Number=dual Case=accusative Form=letter
09M020000000300000000	Mo---l	Numeral ordinal letter	Numeral Type=ordinal Form=letter
09M020101010300000000	Momsnl	Numeral ordinal masculine singular nominative letter	Numeral Type=ordinal Gender=masculine Number=singular Case=nominative Form=letter
09M020101040300000001	Momsal---n	Numeral ordinal masculine singular accusative letter -Animate	Numeral Type=ordinal Gender=masculine Number=singular Case=accusative Form=letter Animate=no
09M020201010300000000	Mofsnl	Numeral ordinal feminine singular nominative letter	Numeral Type=ordinal Gender=feminine Number=singular Case=nominative Form=letter
09M020201020300000000	Mofsgl	Numeral ordinal feminine singular genitive letter	Numeral Type=ordinal Gender=feminine Number=singular Case=genitive Form=letter
09M020202020300000000	Mofpgl	Numeral ordinal feminine plural genitive letter	Numeral Type=ordinal Gender=feminine Number=plural Case=genitive Form=letter
10Q	Q	Particle	Particle
11I	I	Interjection	Interjection
12Y	Y	Abbreviation	Abbreviation
13X	X	Residual	Residual
14Z	Z	Punctuation	Punctuation
